"species","weight","length","height","width"
"Bream",242,30,11.52,4.02
"Bream",290,31.2,12.48,4.3056
"Bream",340,31.1,12.3778,4.6961
"Bream",363,33.5,12.73,4.4555
"Bream",430,34,12.444,5.134
"Bream",450,34.7,13.6024,4.9274
"Bream",500,34.5,14.1795,5.2785
"Bream",390,35,12.67,4.69
"Bream",450,35.1,14.0049,4.8438
"Bream",500,36.2,14.2266,4.9594
"Bream",475,36.2,14.2628,5.1042
"Bream",500,36.2,14.3714,4.8146
"Bream",500,36.4,13.7592,4.368
"Bream",340,37.3,13.9129,5.0728
"Bream",600,37.2,14.9544,5.1708
"Bream",600,37.2,15.438,5.58
"Bream",700,38.3,14.8604,5.2854
"Bream",700,38.5,14.938,5.1975
"Bream",610,38.6,15.633,5.1338
"Bream",650,38.7,14.4738,5.7276
"Bream",575,39.5,15.1285,5.5695
"Bream",685,39.2,15.9936,5.3704
"Bream",620,39.7,15.5227,5.2801
"Bream",680,40.6,15.4686,6.1306
"Bream",700,40.5,16.2405,5.589
"Bream",725,40.9,16.36,6.0532
"Bream",720,40.6,16.3618,6.09
"Bream",714,41.5,16.517,5.8515
"Bream",850,41.6,16.8896,6.1984
"Bream",1000,42.6,18.957,6.603
"Bream",920,44.1,18.0369,6.3063
"Bream",955,44,18.084,6.292
"Bream",925,45.3,18.7542,6.7497
"Bream",975,45.9,18.6354,6.7473
"Bream",950,46.5,17.6235,6.3705
"Perch",5.9,8.8,2.112,1.408
"Perch",32,14.7,3.528,1.9992
"Perch",40,16,3.824,2.432
"Perch",51.5,17.2,4.5924,2.6316
"Perch",70,18.5,4.588,2.9415
"Perch",100,19.2,5.2224,3.3216
"Perch",78,19.4,5.1992,3.1234
"Perch",80,20.2,5.6358,3.0502
"Perch",85,20.8,5.1376,3.0368
"Perch",85,21,5.082,2.772
"Perch",110,22.5,5.6925,3.555
"Perch",115,22.5,5.9175,3.3075
"Perch",125,22.5,5.6925,3.6675
"Perch",130,22.8,6.384,3.534
"Perch",120,23.5,6.11,3.4075
"Perch",120,23.5,5.64,3.525
"Perch",130,23.5,6.11,3.525
"Perch",135,23.5,5.875,3.525
"Perch",110,23.5,5.5225,3.995
"Perch",130,24,5.856,3.624
"Perch",150,24,6.792,3.624
"Perch",145,24.2,5.9532,3.63
"Perch",150,24.5,5.2185,3.626
"Perch",170,25,6.275,3.725
"Perch",225,25.5,7.293,3.723
"Perch",145,25.5,6.375,3.825
"Perch",188,26.2,6.7334,4.1658
"Perch",180,26.5,6.4395,3.6835
"Perch",197,27,6.561,4.239
"Perch",218,28,7.168,4.144
"Perch",300,28.7,8.323,5.1373
"Perch",260,28.9,7.1672,4.335
"Perch",265,28.9,7.0516,4.335
"Perch",250,28.9,7.2828,4.5662
"Perch",250,29.4,7.8204,4.2042
"Perch",300,30.1,7.5852,4.6354
"Perch",320,31.6,7.6156,4.7716
"Perch",514,34,10.03,6.018
"Perch",556,36.5,10.2565,6.3875
"Perch",840,37.3,11.4884,7.7957
"Perch",685,39,10.881,6.864
"Perch",700,38.3,10.6091,6.7408
"Perch",700,39.4,10.835,6.2646
"Perch",690,39.3,10.5717,6.3666
"Perch",900,41.4,11.1366,7.4934
"Perch",650,41.4,11.1366,6.003
"Perch",820,41.3,12.4313,7.3514
"Perch",850,42.3,11.9286,7.1064
"Perch",900,42.5,11.73,7.225
"Perch",1015,42.4,12.3808,7.4624
"Perch",820,42.5,11.135,6.63
"Perch",1100,44.6,12.8002,6.8684
"Perch",1000,45.2,11.9328,7.2772
"Perch",1100,45.5,12.5125,7.4165
"Perch",1000,46,12.604,8.142
"Perch",1000,46.6,12.4888,7.5958
"Pike",200,34.8,5.568,3.3756
"Pike",300,37.8,5.7078,4.158
"Pike",300,38.8,5.9364,4.3844
"Pike",300,39.8,6.2884,4.0198
"Pike",430,40.5,7.29,4.5765
"Pike",345,41,6.396,3.977
"Pike",456,45.5,7.28,4.3225
"Pike",510,45.5,6.825,4.459
"Pike",540,45.8,7.786,5.1296
"Pike",500,48,6.96,4.896
"Pike",567,48.7,7.792,4.87
"Pike",770,51.2,7.68,5.376
"Pike",950,55.1,8.9262,6.1712
"Pike",1250,59.7,10.6863,6.9849
"Pike",1600,64,9.6,6.144
"Pike",1550,64,9.6,6.144
"Pike",1650,68,10.812,7.48
