"","region","fertility","ppgdp","lifeExpF","pctUrban"
"Albania","Europe",1.525,3677.2,80.4,53
"Anguilla","Caribbean",2,13750.1,81.1,100
"Argentina","Latin Amer",2.172,9162.1,79.89,93
"Armenia","Asia",1.735,3030.7,77.33,64
"Aruba","Caribbean",1.671,22851.5,77.75,47
"Azerbaijan","Asia",2.148,5637.6,73.66,52
"Bahamas","Caribbean",1.877,22461.6,78.85,84
"Bahrain","Asia",2.43,18184.1,76.06,89
"Bangladesh","Asia",2.157,670.4,70.23,29
"Barbados","Caribbean",1.575,14497.3,80.26,45
"Belarus","Europe",1.479,5702,76.37,75
"Belize","Latin Amer",2.679,4495.8,77.81,53
"Bermuda","Caribbean",1.76,92624.7,82.3,100
"Bhutan","Asia",2.258,2047.2,69.84,35
"Bolivia","Latin Amer",3.229,1977.9,69.4,67
"Bosnia and Herzegovina","Europe",1.134,4477.7,78.4,49
"Brazil","Latin Amer",1.8,10715.6,77.41,87
"Brunei Darussalam","Asia",1.984,32647.6,80.64,76
"Bulgaria","Europe",1.546,6365.1,77.12,72
"Cambodia","Asia",2.422,797.2,65.1,20
"Cayman Islands","Caribbean",1.6,57047.9,83.8,100
"China","Asia",1.559,4354,75.61,48
"Colombia","Latin Amer",2.293,6222.8,77.69,75
"Cook Islands","Oceania",2.53080628409411,12212.1,76.2454672361809,76
"Costa Rica","Latin Amer",1.812,7703.8,81.99,65
"Croatia","Europe",1.501,13819.5,80.37,58
"Cuba","Caribbean",1.451,5704.4,81.33,75
"Cyprus","Asia",1.458,28364.3,82.14,71
"Dominica","Caribbean",3,7020.8,78.2,67
"Dominican Republic","Caribbean",2.49,5195.4,76.57,70
"East Timor","Asia",5.918,706.1,64.2,29
"Ecuador","Latin Amer",2.393,4072.6,78.91,68
"El Salvador","Latin Amer",2.171,3425.6,77.09,65
"Fiji","Oceania",2.602,3545.7,72.27,52
"French Polynesia","Oceania",2.033,24669,78.07,51
"Georgia","Asia",1.528,2680.3,77.31,53
"Greenland","NorthAtlantic",2.217,35292.7,71.6,84
"Grenada","Caribbean",2.171,7429,77.72,40
"Guatemala","Latin Amer",3.84,2882.3,75.1,50
"Guyana","Latin Amer",2.19,2996,73.45,29
"Haiti","Caribbean",3.159,612.7,63.87,54
"Honduras","Latin Amer",2.996,2026.2,75.92,52
"Hong Kong","Asia",1.137,31823.7,86.35,100
